勝田クリニック,567-0846,玉島二丁目１０番２１号,072-633-3111,072-636-6288,かかりつけ患者優先,診療時間内,●かかりつけ患者 医療機関の窓口、電話 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
スカイ整形外科クリニック,567-0829,双葉町１０番１号茨木東阪急ビル１階,072-638-7676,,かかりつけ患者優先,月～金 診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
健彰会クリニック整形外科リウマチ科,567-0804,総持寺台１番１１号メディカルモールホクセツ１階,072-657-5055,072-657-5077,かかりつけ患者優先,火・金 ９時～9時30分,電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
とくいクリニック,567-0826,大池二丁目１３番２２号,072-636-1091,072-636-1092,かかりつけ患者優先,診療時間内,●かかりつけ患者 医療機関の窓口・電話 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
辰見クリニック,567-0832,白川二丁目１番５号アドバン１階,072-634-8411,072-630-2033,かかりつけ患者優先,診療時間内,医療機関の電話,,,,,,,,,,,,,
なかじま内科,567-0831,鮎川五丁目６番８号,072-636-8305,072-636-8315,かかりつけ患者のみ,月～土 ９時～12時,医療機関の窓口（電話不可）,,,,,,,,,,,,,
阪上耳鼻咽喉科医院,567-0888,駅前一丁目２番２１号,072-622-2558,072-622-3141,かかりつけ患者のみ,診療時間内,医療機関の電話（窓口不可）,,,,,,,,,,,,,
日翔会病院,567-0888,駅前三丁目６番２３号,072-623-0234,072-623-7906,かかりつけ患者のみ,月～金（木除く） 16時30～18時,医療機関の窓口、電話,,,,,,,,,,,,,
金田眼科,567-0888,駅前二丁目１番２１号,072-622-8350,072-622-8350,かかりつけ患者のみ,診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
さかいメンタルクリニック,567-0888,駅前二丁目４番３４号茨木ＲＧＢ６階,072-625-7555,,かかりつけ患者のみ,診療時間内,医療機関の窓口・電話,,,,,,,,,,,,,
細見医院,567-0886,下中条町７番１０号,072-622-5159,072-622-5194,かかりつけ患者のみ,診療時間内 ９時～12時,Web（医療機関独自）,,,,,,,,,,,,,
船戸医院,567-0041,下穂積二丁目９番１７号,072-627-3139,072-657-8800,かかりつけ患者のみ,診療時間内,医療機関の窓口、電話,,,,,,,,,,,,,
栗原医院,567-0810,宮元町１番１５号,072-626-2102,072-626-8761,かかりつけ患者のみ,診療時間内,医療機関の窓口、電話,,,,,,,,,,,,,
第二近藤診療所,567-0895,玉櫛二丁目１７番１８号,072-635-1035,072-635-1036,かかりつけ患者のみ,診療時間内 医療機関の窓口・電話,,,,,,,,,,,,,,
さと在宅クリニック,567-0895,玉櫛二丁目２８番１２号サンクチュアリムライ１階,072-637-1556,072-637-1557,かかりつけ患者のみ,月～土（火・木除く） ９時～12時,医療機関の電話,,,,,,,,,,,,,
奥村クリニック,567-0882,元町１番２３号松村ビル２階,072-621-6281,072-621-6280,かかりつけ患者のみ,診療時間内,医療機関の窓口、電話,,,,,,,,,,,,,
せしも胃腸肛門クリニック,567-0882,元町２番１０号,072-646-5111,072-646-5115,かかりつけ患者のみ,月・火・金 診療時間内,医療機関の窓口・電話,,,,,,,,,,,,,
津森整形外科リハビリテーションクリニック,567-0085,彩都あさぎ一丁目２番１６号１０３号,072-640-5137,072-640-5157,かかりつけ患者のみ,診療時間内,医療機関の窓口（電話不可）患者さんの同居する家族は可（今後のワクチン供給数次第。少なければ患者のみ。）,,,,,,,,,,,,,
居相整形外科,567-0021,三島丘二丁目８番１７号角屋ビル２階,072-620-7540,072-620-7541,かかりつけ患者のみ,月～金（水除く） 16時～19時,医療機関の窓口（電話不可）,,,,,,,,,,,,,
峯クリニック,567-0031,春日一丁目４番１０号グラン長久茨木２階,072-631-7354,072-631-7356,かかりつけ患者のみ,診療時間内,医療機関の窓口、電話,,,,,,,,,,,,,
中尾内科クリニック,567-0031,春日四丁目１０番４号リヴェール春日１階,072-621-4777,072-621-8166,かかりつけ患者のみ,診療時間内,医療機関の窓口、電話,,,,,,,,,,,,,
大島整形外科,567-0806,庄二丁目１９番１４号,072-622-0345,072-622-0356,かかりつけ患者のみ,診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
よしだ内科,567-0872,新中条町１２番２４号,072-631-1117,072-631-1118,かかりつけ患者のみ,月～土（水除く）10時～12時,医療機関の窓口（電話不可）,,,,,,,,,,,,,
こうもと内科・小児科クリニック,567-0891,水尾三丁目１６番２８号メデミックス茨木水尾２階,072-657-0121,,かかりつけ患者のみ,診療時間内,Web（医療機関独自）,,,,,,,,,,,,,
岡本医院,567-0829,双葉町１６番２７号ボンメゾンフタバ１階,072-652-5070,072-652-5071,かかりつけ患者のみ,月・金 13時～14時,医療機関の窓口、電話,,,,,,,,,,,,,
うめだ整形外科,567-0829,双葉町６番２号フォルテ・ディ・コンフォート２階,072-635-3970,072-635-1414,かかりつけ患者のみ,診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
いまい内科ハートクリニック,567-0829,双葉町９番２０号,072-637-2468,,かかりつけ患者のみ,月～金（木除く） ９時～11時,医療機関の窓口（電話不可）,,,,,,,,,,,,,
徳永医院,567-0802,総持寺駅前町1番３２号ハイムエーデル201,072-622-8355,,かかりつけ患者のみ,診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
橋本こどもクリニック,567-0018,太田三丁目２１番１７号,072-631-9001,072-631-8989,かかりつけ患者のみ,診療時間内,Web（医療機関独自）,,,,,,,,,,,,,
いしが城谷クリニック,567-0883,大手町１２番３号,072-622-3003,072-622-0105,かかりつけ患者のみ,診療時間内,医療機関の窓口・Ｗｅｂ（医療機関独自）,,,,,,,,,,,,,
井上クリニック,567-0883,大手町１番２６号西野ビル２階,072-625-3351,072-625-3373,かかりつけ患者のみ,診療時間内,医療機関の窓口、電話,,,,,,,,,,,,,
ねごろ内科循環器科,567-0826,大池二丁目２８番１７号,072-637-1472,072-637-1482,かかりつけ患者のみ,診療時間内,医療機関の窓口、電話,,,,,,,,,,,,,
藤井クリニック,567-0868,沢良宜西一丁目２番２０号タウンハイツ南茨木２号館２０１,072-635-5122,072-637-2697,かかりつけ患者のみ,診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
すがの整形外科,567-0034,中穂積二丁目９番２５号,072-622-3939,,かかりつけ患者のみ,診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
はしづめ内科,567-0876,天王二丁目６番７号エルディ南茨木２階,072-621-7373,072-621-7377,かかりつけ患者のみ,月～金（水除く）14時～15時,Web（医療機関独自） 医療機関の電話,,,,,,,,,,,,,
やまぐち整形外科・リウマチクリニック,567-0876,天王二丁目６番７号エルディ南茨木４階,072-631-3663,072-631-3661,かかりつけ患者のみ,診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
田中病院,567-0861,東奈良三丁目１６番３１号,072-635-5831,072-632-7917,かかりつけ患者のみ,月～金 15時～16時,医療機関の窓口、電話,,,,,,,,,,,,,
大谷クリニック,567-0817,別院町１番３３号,072-627-6662,072-627-6667,かかりつけ患者のみ,診療時間内,医療機関の窓口、電話,,,,,,,,,,,,,
馬渕放射線科医院,567-0817,別院町３番１５号,072-622-2661,072-622-2681,かかりつけ患者のみ,診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
田中胃腸科クリニック,567-0827,稲葉町１９番１９号,072-634-8228,072-637-7958,,月～土（木除く） 8時30分～12時30分,医療機関の電話 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
茨木弘道会クリニック,567－0013,茨木市太田東芝町２番８号,072-624-1510,,,月～金 ９時～12時, 医療機関の電話、窓口 電話（市コールセンター）Web（市予約システム）,,,,,,,,,,,,,
かしまクリニック,567-0877,丑寅二丁目１番６号天王医療ビル２階,072-622-3355,072-622-8866,,火・木・土 ９時～12時30分,電話（市コールセンター） Web（市予約システム） 医療機関の電話不可）,,,,,,,,,,,,,
きずな友愛クリニック,567-0816,永代町６番２１号,072-645-3040,,,,●かかりつけ患者 医療機関の窓口、電話 ●かかりつけ患者以外 医療機関のホームページからの予約のみ受付（市予約システム稼働すればそちらも可）,,,,,,,,,,,,,
やまもとクリニック,567-0816,永代町７番１０号川崎ビル２階,072-645-5166,072-645-5167,,,●かかりつけ患者 医療機関の電話 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
長谷川内科,567-0825,園田町１４番３１号,072-637-5521,072-637-5528,,,医療機関の電話 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
増田内科医院,567-0886,下中条町３番４号アークＡ１階,072-624-0661,072-624-0663,,,●かかりつけ患者 医療機関の窓口・電話 ●かかりつけ患者以外 電話（市コールセンター）Web（市予約システム）,,,,,,,,,,,,,
